area_id,source,calendar_quarter,sex,age_group,population,area_name,asfr,county
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y035_039,34522,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y040_044,22705,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y045_049,14095,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y050_054,8967,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y055_059,7118,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y060_064,4883,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y065_069,3334,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y070_074,2366,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y075_079,1450,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,female,Y080_999,1920,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y000_004,74708,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y005_009,57065,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y010_014,47173,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y015_019,47026,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y020_024,69313,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y025_029,71722,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y030_034,59637,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y035_039,48772,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y040_044,35143,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y045_049,22624,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y050_054,15384,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y055_059,9860,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y060_064,6212,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y065_069,3493,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y070_074,2285,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y075_079,1396,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2014Q2,male,Y080_999,1324,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y000_004,75317,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y005_009,59372,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y010_014,50386,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y015_019,54865,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y020_024,72885,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y025_029,77002,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y030_034,55104,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y035_039,36693,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y040_044,24148,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y045_049,14960,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y050_054,9283,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y055_059,7367,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y060_064,5120,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y065_069,3494,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y070_074,2455,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y075_079,1499,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,female,Y080_999,1898,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y000_004,76877,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y005_009,58671,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y010_014,48916,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y015_019,48521,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y020_024,71343,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y025_029,74411,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y030_034,61523,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y035_039,50490,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y040_044,37130,Mombasa,,Mombasa
