year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2006,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,29000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,16000.0,45000.0,,estimated_tb_deaths_excl_hiv_num
2007,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,31000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,17000.0,48000.0,,estimated_tb_deaths_excl_hiv_num
2008,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,31000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,17000.0,48000.0,,estimated_tb_deaths_excl_hiv_num
2009,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,32000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,18000.0,51000.0,,estimated_tb_deaths_excl_hiv_num
2010,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,33000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,18000.0,52000.0,,estimated_tb_deaths_excl_hiv_num
2011,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,33000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,19000.0,52000.0,,estimated_tb_deaths_excl_hiv_num
2012,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,32000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,18000.0,51000.0,,estimated_tb_deaths_excl_hiv_num
2013,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,31000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,18000.0,49000.0,,estimated_tb_deaths_excl_hiv_num
2014,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,32000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,18000.0,49000.0,,estimated_tb_deaths_excl_hiv_num
2015,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,30000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,17000.0,47000.0,,estimated_tb_deaths_excl_hiv_num
2016,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,29000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,16000.0,45000.0,,estimated_tb_deaths_excl_hiv_num
2017,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,25000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,14000.0,39000.0,,estimated_tb_deaths_excl_hiv_num
2018,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,19000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,11000.0,29000.0,,estimated_tb_deaths_excl_hiv_num
2019,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,19000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,11000.0,30000.0,,estimated_tb_deaths_excl_hiv_num
2020,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,20000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,11000.0,31000.0,,estimated_tb_deaths_excl_hiv_num
2021,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,21000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,12000.0,33000.0,,estimated_tb_deaths_excl_hiv_num
2022,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,17000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,8500.0,29000.0,,estimated_tb_deaths_excl_hiv_num
2023,estimated_tb_deaths_excl_hiv_num,Estimated TB deaths excluding HIV-associated TB deaths,15000.0,deaths,WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_num,7600.0,26000.0,,estimated_tb_deaths_excl_hiv_num
