year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
1989,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1990,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1991,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1992,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1993,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1994,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1995,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1996,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1997,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1998,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1999,notification_incidence_gap,Estimated incidence-to-notification gap,,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2000,notification_incidence_gap,Estimated incidence-to-notification gap,73841.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2001,notification_incidence_gap,Estimated incidence-to-notification gap,84983.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2002,notification_incidence_gap,Estimated incidence-to-notification gap,93817.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2003,notification_incidence_gap,Estimated incidence-to-notification gap,110817.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2004,notification_incidence_gap,Estimated incidence-to-notification gap,119427.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2005,notification_incidence_gap,Estimated incidence-to-notification gap,122320.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2006,notification_incidence_gap,Estimated incidence-to-notification gap,130658.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2007,notification_incidence_gap,Estimated incidence-to-notification gap,128562.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2008,notification_incidence_gap,Estimated incidence-to-notification gap,121059.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2009,notification_incidence_gap,Estimated incidence-to-notification gap,126003.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2010,notification_incidence_gap,Estimated incidence-to-notification gap,121728.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2011,notification_incidence_gap,Estimated incidence-to-notification gap,119680.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2012,notification_incidence_gap,Estimated incidence-to-notification gap,114013.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2013,notification_incidence_gap,Estimated incidence-to-notification gap,109204.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2014,notification_incidence_gap,Estimated incidence-to-notification gap,106975.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2015,notification_incidence_gap,Estimated incidence-to-notification gap,97708.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2016,notification_incidence_gap,Estimated incidence-to-notification gap,91665.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2017,notification_incidence_gap,Estimated incidence-to-notification gap,73401.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2018,notification_incidence_gap,Estimated incidence-to-notification gap,51466.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2019,notification_incidence_gap,Estimated incidence-to-notification gap,52655.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2020,notification_incidence_gap,Estimated incidence-to-notification gap,57940.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2021,notification_incidence_gap,Estimated incidence-to-notification gap,55990.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2022,notification_incidence_gap,Estimated incidence-to-notification gap,40310.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
